,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
North American Industry Classification System (NAICS),Retail trade  [44-45],Motor vehicle and parts dealers  [441],Automobile dealers  [4411],New car dealers  [44111],Used car dealers  [44112],Other motor vehicle dealers  [4412],"Automotive parts, accessories and tire stores  [4413]",Furniture and home furnishings stores  [442],Furniture stores  [4421],Home furnishings stores  [4422],Electronics and appliance stores  [443],Building material and garden equipment and supplies dealers  [444],Food and beverage stores  [445],Grocery stores  [4451],Supermarkets and other grocery (except convenience) stores   [44511],Convenience stores  [44512],Specialty food stores  [4452],"Beer, wine and liquor stores  [4453]",Health and personal care stores  [446],Gasoline stations  [447],Clothing and clothing accessories stores  [448],Clothing stores  [4481],Shoe stores  [4482],"Jewellery, luggage and leather goods stores  [4483]","Sporting goods, hobby, book and music stores  [451]",General merchandise stores  [452],Department stores  [4521],Other general merchandise stores  [4529],Miscellaneous store retailers  [453],Cannabis stores  [453993] 6
Jan-91,"15,026,890","3,124,582",..,"2,563,093",..,..,..,"468,950","314,081","154,869","365,852","558,564","4,267,236",..,"3,102,853",..,..,"678,183","1,049,998","1,574,779","1,001,432",..,..,..,"414,846","1,858,426","999,360","859,066","342,225",..
Feb-91,"15,304,585","3,195,311",..,"2,622,090",..,..,..,"525,639","348,777","176,862","398,170","563,864","4,294,682",..,"3,110,355",..,..,"692,492","1,077,021","1,477,974","1,077,178",..,..,..,"428,124","1,899,516","1,007,675","891,841","367,106",..
Mar-91,"15,413,591","3,213,766",..,"2,643,380",..,..,..,"539,211","355,802","183,409","407,412","578,882","4,345,552",..,"3,139,134",..,..,"706,936","1,062,448","1,416,793","1,118,432",..,..,..,"430,137","1,932,033","1,026,369","905,664","368,925",..
Apr-91,"15,293,409","3,195,107",..,"2,627,159",..,..,..,"541,863","361,051","180,812","417,380","578,066","4,298,247",..,"3,142,931",..,..,"674,328","1,055,045","1,444,113","1,078,115",..,..,..,"424,847","1,894,595","973,505","921,090","366,031",..
May-91,"15,676,083","3,300,286",..,"2,718,565",..,..,..,"553,422","370,270","183,152","425,847","604,760","4,392,167",..,"3,182,670",..,..,"709,325","1,093,296","1,428,825","1,083,460",..,..,..,"440,970","1,987,917","1,024,999","962,918","365,133",..
Jun-91,"15,507,931","3,296,739",..,"2,720,551",..,..,..,"539,412","359,516","179,896","425,621","609,321","4,362,801",..,"3,163,821",..,..,"702,879","1,070,389","1,407,247","1,087,304",..,..,..,"420,502","1,927,751","1,011,323","916,428","360,844",..
Jul-91,"15,556,313","3,408,080",..,"2,813,519",..,..,..,"553,098","369,450","183,648","424,935","601,481","4,335,867",..,"3,152,111",..,..,"697,259","1,075,112","1,407,418","1,048,336",..,..,..,"414,064","1,928,353","1,004,375","923,978","359,569",..
Aug-91,"15,430,645","3,107,689",..,"2,555,655",..,..,..,"560,708","380,296","180,412","439,711","608,758","4,403,173",..,"3,186,329",..,..,"723,601","1,085,390","1,403,430","1,064,057",..,..,..,"430,031","1,961,135","1,024,531","936,604","366,563",..
Sep-91,"15,427,313","3,258,453",..,"2,683,647",..,..,..,"538,086","355,395","182,691","418,838","600,031","4,360,315",..,"3,167,674",..,..,"709,952","1,070,585","1,408,066","1,050,397",..,..,..,"432,988","1,924,408","997,734","926,674","365,146",..
Oct-91,"15,410,250","3,138,074",..,"2,575,216",..,..,..,"552,512","362,781","189,731","421,817","604,610","4,400,256",..,"3,185,056",..,..,"728,166","1,107,825","1,410,139","1,049,525",..,..,..,"434,666","1,923,790","1,004,448","919,342","367,036",..
Nov-91,"15,662,790","3,248,345",..,"2,674,597",..,..,..,"546,703","364,577","182,126","427,208","609,724","4,426,655",..,"3,181,593",..,..,"746,551","1,169,000","1,380,289","1,070,669",..,..,..,"439,952","1,960,364","1,024,585","935,779","383,881",..
Dec-91,"15,349,625","3,183,488",..,"2,619,269",..,..,..,"520,384","346,902","173,482","409,810","574,418","4,340,047",..,"3,168,232",..,..,"675,966","1,123,706","1,379,762","1,081,549",..,..,..,"436,525","1,930,418","1,010,076","920,342","369,518",..
Jan-92,"15,477,875","3,216,968",..,"2,653,713",..,..,..,"554,949","367,327","187,622","439,214","607,783","4,378,141",..,"3,193,837",..,..,"707,395","1,101,939","1,416,937","1,053,183",..,..,..,"429,723","1,905,748","1,001,993","903,755","373,291",..
Feb-92,"15,513,022","3,231,718",..,"2,666,712",..,..,..,"557,416","369,478","187,938","431,953","612,449","4,369,007",..,"3,201,751",..,..,"696,743","1,112,537","1,394,003","1,061,232",..,..,..,"435,523","1,935,873","1,021,975","913,898","371,312",..
Mar-92,"15,527,933","3,241,793",..,"2,670,058",..,..,..,"549,889","362,184","187,705","425,399","613,062","4,388,273",..,"3,230,809",..,..,"689,749","1,116,567","1,402,600","1,066,147",..,..,..,"430,867","1,916,172","1,005,673","910,499","377,165",..
Apr-92,"15,708,556","3,259,814",..,"2,690,568",..,..,..,"559,522","369,962","189,560","427,787","624,671","4,465,602",..,"3,290,182",..,..,"697,160","1,147,601","1,416,065","1,061,479",..,..,..,"434,638","1,934,536","1,028,130","906,406","376,842",..
May-92,"15,642,000","3,244,275",..,"2,676,949",..,..,..,"544,912","357,058","187,854","425,840","641,069","4,404,295",..,"3,240,135",..,..,"688,237","1,168,183","1,411,974","1,055,999",..,..,..,"434,348","1,930,592","1,015,638","914,954","380,514",..
Jun-92,"15,823,989","3,268,461",..,"2,695,293",..,..,..,"560,537","369,396","191,141","439,586","649,549","4,471,639",..,"3,293,465",..,..,"706,596","1,165,428","1,448,834","1,049,747",..,..,..,"446,408","1,941,427","1,026,855","914,572","382,374",..
Jul-92,"15,869,453","3,375,683",..,"2,790,956",..,..,..,"554,659","366,386","188,273","439,256","658,871","4,415,807",..,"3,258,830",..,..,"681,279","1,175,531","1,414,405","1,055,346",..,..,..,"440,417","1,955,461","1,042,533","912,928","384,018",..
Aug-92,"15,844,631","3,358,228",..,"2,773,905",..,..,..,"555,610","366,453","189,157","439,056","657,338","4,429,263",..,"3,275,319",..,..,"679,023","1,185,040","1,404,174","1,055,321",..,..,..,"437,812","1,941,690","1,028,285","913,405","381,100",..
Sep-92,"15,983,239","3,383,181",..,"2,795,178",..,..,..,"560,431","375,943","184,488","446,680","656,080","4,474,218",..,"3,309,921",..,..,"681,991","1,174,666","1,409,194","1,082,614",..,..,..,"452,138","1,960,442","1,039,934","920,508","383,596",..
